"from","to","id"
"node_id_3924","node_id_168","""967227"""
"node_id_3924","node_id_1709","""967306"""
"node_id_3924","node_id_1906","""967310"""
"node_id_3924","node_id_1708","""967355"""
"node_id_3924","node_id_4423","""967395"""
"node_id_3924","node_id_1573","""967521"""
"node_id_3924","node_id_3878","""967539"""
"node_id_3924","node_id_4336","""967595"""
"node_id_3924","node_id_131","""967660"""
"node_id_989","node_id_1830","""1010093"""
"node_id_989","node_id_613","""1010246"""
"node_id_3705","node_id_1866","""1013913"""
"node_id_3705","node_id_4202","""1014022"""
"node_id_3705","node_id_2590","""1014263"""
"node_id_3705","node_id_2634","""1014293"""
"node_id_3705","node_id_3167","""1014648"""
"node_id_582","node_id_2529","""1019010"""
"node_id_582","node_id_3827","""1019038"""
"node_id_3612","node_id_3596","""1057822"""
"node_id_3612","node_id_2759","""1058305"""
"node_id_1297","node_id_1430","""1088456"""
"node_id_1297","node_id_3600","""1088502"""
"node_id_1297","node_id_1464","""1088978"""
"node_id_773","node_id_4018","""1117547"""
"node_id_1333","node_id_1487","""1175605"""
"node_id_972","node_id_1167","""1175923"""
"node_id_2463","node_id_3110","""1178707"""
"node_id_2463","node_id_1767","""1179216"""
"node_id_130","node_id_1259","""1187237"""
"node_id_130","node_id_3154","""1187501"""
"node_id_130","node_id_3211","""1187648"""
"node_id_3154","node_id_1259","""1188022"""
"node_id_3154","node_id_130","""1188170"""
"node_id_1384","node_id_950","""1206913"""
"node_id_1384","node_id_0","""1207192"""
"node_id_1384","node_id_2082","""1207347"""
"node_id_401","node_id_761","""1217532"""
"node_id_401","node_id_654","""1217892"""
"node_id_401","node_id_1627","""1217913"""
"node_id_2644","node_id_1574","""1219690"""
"node_id_2644","node_id_1270","""1220120"""
"node_id_173","node_id_2949","""1255047"""
"node_id_173","node_id_2032","""1255270"""
"node_id_173","node_id_316","""1255302"""
"node_id_173","node_id_2210","""1255335"""
"node_id_173","node_id_749","""1255516"""
"node_id_1779","node_id_2590","""1263123"""
"node_id_3227","node_id_1044","""1276966"""
"node_id_3227","node_id_3159","""1277964"""
"node_id_3227","node_id_2579","""1278065"""
"node_id_1002","node_id_3805","""1282374"""
"node_id_1002","node_id_4293","""1282377"""
"node_id_1002","node_id_2739","""1282389"""
"node_id_3385","node_id_2684","""1284440"""
"node_id_2981","node_id_1435","""1310733"""
"node_id_836","node_id_1218","""1322673"""
"node_id_1487","node_id_2556","""1347115"""
"node_id_1487","node_id_1333","""1347888"""
"node_id_2627","node_id_2607","""1370628"""
"node_id_2627","node_id_1199","""1371545"""
"node_id_2803","node_id_4349","""1372966"""
"node_id_2821","node_id_1932","""1384664"""
"node_id_2414","node_id_4221","""1392660"""
"node_id_802","node_id_3946","""1409817"""
"node_id_802","node_id_3155","""1409836"""
"node_id_802","node_id_1521","""1410042"""
"node_id_841","node_id_624","""1414037"""
"node_id_1476","node_id_893","""1415291"""
"node_id_2956","node_id_1782","""1420171"""
"node_id_2956","node_id_1108","""1421352"""
"node_id_2717","node_id_822","""1430471"""
"node_id_2717","node_id_1906","""1430979"""
"node_id_2717","node_id_4423","""1431108"""
"node_id_2717","node_id_1573","""1431289"""
"node_id_2717","node_id_3878","""1431326"""
"node_id_2717","node_id_3415","""1431475"""
"node_id_2717","node_id_131","""1431494"""
"node_id_571","node_id_4390","""1439804"""
"node_id_571","node_id_1115","""1440007"""
"node_id_571","node_id_2234","""1440226"""
"node_id_571","node_id_3331","""1440843"""
"node_id_2215","node_id_2990","""1450719"""
"node_id_2215","node_id_2976","""1450805"""
"node_id_1574","node_id_2644","""1458955"""
"node_id_1574","node_id_386","""1459225"""
"node_id_3702","node_id_3365","""1468694"""
"node_id_1516","node_id_187","""1475614"""
"node_id_1516","node_id_4270","""1475762"""
"node_id_4036","node_id_3823","""1493547"""
"node_id_3308","node_id_2052","""1525195"""
"node_id_2739","node_id_1002","""1528435"""
"node_id_2739","node_id_3805","""1528484"""
"node_id_2739","node_id_4293","""1528486"""
"node_id_1528","node_id_638","""1555998"""
"node_id_477","node_id_4087","""1556865"""
"node_id_477","node_id_2551","""1556983"""
"node_id_3600","node_id_1430","""1558253"""
"node_id_3600","node_id_1297","""1558412"""
"node_id_3600","node_id_1464","""1558461"""
"node_id_749","node_id_2949","""1577944"""
"node_id_749","node_id_2032","""1578142"""
"node_id_749","node_id_316","""1578179"""
"node_id_749","node_id_2210","""1578215"""
"node_id_749","node_id_173","""1578317"""
"node_id_2074","node_id_3203","""1579466"""
"node_id_2074","node_id_2877","""1579669"""
"node_id_2074","node_id_3361","""1579903"""
"node_id_1174","node_id_3518","""1590547"""
"node_id_1174","node_id_4056","""1590885"""
"node_id_1174","node_id_2892","""1591230"""
"node_id_201","node_id_893","""1619103"""
"node_id_1459","node_id_3232","""1624739"""
"node_id_1459","node_id_2524","""1624862"""
"node_id_1459","node_id_3751","""1624932"""
"node_id_1459","node_id_1180","""1625228"""
"node_id_4166","node_id_144","""1650386"""
"node_id_4166","node_id_2877","""1650428"""
"node_id_4166","node_id_4422","""1650602"""
"node_id_4390","node_id_260","""1653829"""
"node_id_4390","node_id_1626","""1653901"""
"node_id_4390","node_id_2234","""1654046"""
"node_id_4390","node_id_1138","""1654099"""
"node_id_4390","node_id_2928","""1654224"""
"node_id_4390","node_id_3446","""1654305"""
"node_id_4390","node_id_3657","""1654401"""
"node_id_4390","node_id_571","""1654414"""
"node_id_4390","node_id_3331","""1654508"""
"node_id_4390","node_id_2428","""1654527"""
"node_id_3415","node_id_822","""1659969"""
"node_id_3415","node_id_4249","""1660063"""
"node_id_3415","node_id_811","""1660074"""
"node_id_3415","node_id_3919","""1660084"""
"node_id_3415","node_id_4012","""1660099"""
"node_id_3415","node_id_1906","""1660191"""
"node_id_3415","node_id_1708","""1660223"""
"node_id_3415","node_id_4423","""1660247"""
"node_id_3415","node_id_1573","""1660321"""
"node_id_3415","node_id_3878","""1660334"""
"node_id_3415","node_id_2717","""1660385"""
"node_id_1246","node_id_2623","""1669796"""
"node_id_1246","node_id_218","""1669863"""
"node_id_1246","node_id_2844","""1669986"""
"node_id_1246","node_id_3051","""1670008"""
"node_id_1246","node_id_3110","""1670282"""
"node_id_1246","node_id_1637","""1670571"""
"node_id_2376","node_id_2556","""1678460"""
"node_id_2376","node_id_3659","""1681036"""
